电影名,评分,卡司,海报
肖申克的救赎,9.7,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,"张国荣,张丰毅,巩俐",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,9.5,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
这个杀手不太冷,9.4,"让·雷诺,娜塔莉·波特曼,加里·奥德曼",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
美丽人生,9.5,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
泰坦尼克号,9.4,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
千与千寻,9.4,"柊瑠美,入野自由,夏木真理",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单,9.5,"连姆·尼森,本·金斯利,拉尔夫·费因斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
盗梦空间,9.3,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
忠犬八公的故事,9.4,"理查·基尔,萨拉·罗默尔,琼·艾伦",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
海上钢琴师,9.3,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
楚门的世界,9.3,"金·凯瑞,劳拉·琳妮,艾德·哈里斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
三傻大闹宝莱坞,9.2,"阿米尔·汗,卡琳娜·卡普尔,马达范",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,9.3,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,9.3,"热拉尔·朱尼奥,弗朗索瓦·贝莱昂,凯德·麦拉德",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
星际穿越,9.3,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
大话西游之大圣娶亲,9.2,"周星驰,吴孟达,朱茵",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,9.3,"孔侑,郑有美,金贤秀",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
疯狂动物城,9.2,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
无间道,9.2,"刘德华,梁朝伟,黄秋生",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
龙猫,9.2,"日高法子,坂本千夏,糸井重里",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
教父,9.3,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
当幸福来敲门,9.1,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
怦然心动,9.1,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
触不可及,9.2,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
蝙蝠侠：黑暗骑士,9.2,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
控方证人,9.6,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
活着,9.2,"葛优,巩俐,姜武",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
乱世佳人,9.3,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
寻梦环游记,9.1,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg
末代皇帝,9.2,"尊龙,陈冲,邬君梅",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
摔跤吧！爸爸,9.0,"阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
指环王3：王者无敌,9.2,"伊利亚·伍德,西恩·奥斯汀,维果·莫腾森",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
少年派的奇幻漂流,9.1,"苏拉·沙玛,伊尔凡·可汗,拉菲·斯波",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
何以为家,9.1,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
飞屋环游记,9.0,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
十二怒汉,9.4,"亨利·方达,马丁·鲍尔萨姆,约翰·菲德勒",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
鬼子来了,9.2,"姜文,香川照之,袁丁",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
天空之城,9.1,"田中真弓,横泽启子,初井言荣",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
大话西游之月光宝盒,9.0,"周星驰,吴孟达,罗家英",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
哈尔的移动城堡,9.1,"倍赏千惠子,木村拓哉,美轮明宏",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
素媛,9.2,"薛景求,严志媛,李来",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
天堂电影院,9.2,"安东内拉·阿蒂利,恩佐·卡拉瓦勒,艾萨·丹尼埃利",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg
罗马假日,9.0,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
闻香识女人,9.1,"阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
辩护人,9.2,"宋康昊,金英爱,吴达洙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
搏击俱乐部,9.0,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
哈利·波特与魔法石,9.0,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2591591494.jpg
我不是药神,9.0,"徐峥,王传君,周一围",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
死亡诗社,9.1,"罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
教父2,9.2,"阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
狮子王,9.0,"乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg
指环王2：双塔奇兵,9.1,"伊利亚·伍德,西恩·奥斯汀,多米尼克·莫纳汉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
